ID,YEAR_BIRTH,AGE,EDUCATION,MARITAL_STATUS,INCOME,TOTAL_CHILDREN,TOTAL_SPENT,TOTAL_PURCHASES,WEB_VISITS,RECENCY,CAMPAIGN_RESPONSE,DT_CUSTOMER
5524,1957,68,GRADUATION,SINGLE,58138.0,0,1617,25,7,58,1,2012-09-04
2174,1954,71,GRADUATION,SINGLE,46344.0,2,27,6,5,38,0,2014-03-08
4141,1965,60,GRADUATION,TOGETHER,71613.0,0,776,21,4,26,0,2013-08-21
6182,1984,41,GRADUATION,TOGETHER,26646.0,1,53,8,6,26,0,2014-02-10
5324,1981,44,PHD,MARRIED,58293.0,1,422,19,5,94,0,2014-01-19
7446,1967,58,MASTER,TOGETHER,62513.0,1,716,22,6,16,0,2013-09-09
965,1971,54,GRADUATION,DIVORCED,55635.0,1,590,21,6,34,0,2012-11-13
6177,1985,40,PHD,MARRIED,33454.0,1,169,10,8,32,0,2013-05-08
4855,1974,51,PHD,TOGETHER,30351.0,1,46,6,9,19,1,2013-06-06
5899,1950,75,PHD,TOGETHER,5648.0,2,49,2,20,68,0,2014-03-13
1994,1983,42,GRADUATION,MARRIED,0.0,1,19,4,7,11,0,2013-11-15
387,1976,49,BASIC,MARRIED,7500.0,0,61,6,8,59,0,2012-11-13
2125,1959,66,GRADUATION,DIVORCED,63033.0,0,1102,16,2,82,0,2013-11-15
8180,1952,73,MASTER,DIVORCED,59354.0,2,310,15,6,53,0,2013-11-15
2569,1987,38,GRADUATION,MARRIED,17323.0,0,46,5,8,38,0,2012-10-10
2114,1946,79,PHD,SINGLE,82800.0,0,1315,26,3,23,1,2012-11-24
9736,1980,45,GRADUATION,MARRIED,41850.0,2,96,9,8,51,0,2012-12-24
4939,1946,79,GRADUATION,TOGETHER,37760.0,0,317,13,7,20,0,2012-08-31
6565,1949,76,MASTER,MARRIED,76995.0,1,1782,26,5,91,0,2013-03-28
2278,1985,40,2N CYCLE,SINGLE,33812.0,1,133,8,6,86,0,2012-11-03
9360,1982,43,GRADUATION,MARRIED,37040.0,0,316,12,8,41,0,2012-08-08
5376,1979,46,GRADUATION,MARRIED,2447.0,1,1730,43,1,42,0,2013-01-06
1993,1949,76,PHD,MARRIED,58607.0,1,972,17,8,63,0,2012-12-23
4047,1954,71,PHD,MARRIED,65324.0,1,544,20,4,0,0,2014-01-11
1409,1951,74,GRADUATION,TOGETHER,40689.0,1,444,20,8,69,0,2013-03-18
7892,1969,56,GRADUATION,SINGLE,18589.0,0,75,8,7,89,0,2013-01-02
2404,1976,49,GRADUATION,MARRIED,53359.0,2,257,14,7,4,0,2013-05-27
5255,1986,39,GRADUATION,SINGLE,0.0,1,637,27,1,19,0,2013-02-20
9422,1989,36,GRADUATION,MARRIED,38360.0,1,131,9,3,26,0,2013-05-31
1966,1965,60,PHD,MARRIED,84618.0,0,1672,26,2,96,0,2013-11-22
6864,1989,36,MASTER,DIVORCED,10979.0,0,30,8,5,34,0,2014-05-22
3033,1963,62,MASTER,TOGETHER,38620.0,0,318,11,3,56,0,2013-05-11
5710,1970,55,GRADUATION,TOGETHER,40548.0,1,120,9,5,31,0,2012-10-10
7373,1952,73,PHD,DIVORCED,46610.0,2,302,17,6,8,1,2012-10-29
8755,1946,79,MASTER,MARRIED,68657.0,0,1196,18,7,4,0,2013-02-20
10738,1951,74,MASTER,SINGLE,49389.0,2,65,6,7,55,0,2013-08-29
4339,1970,55,PHD,MARRIED,67353.0,1,913,28,2,37,0,2013-12-31
